"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fixed Assets","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fixed Assets","1-Jan-07","558950"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fixed Assets","1-Jan-11","498983"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fixed Assets","31-Dec-06","558950"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fixed Assets","31-Dec-07","541834"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fixed Assets","31-Dec-11","483270"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","1-Jan-03","9026"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","1-Jan-11","47440"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","1-Jan-97","3803"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","31-Dec-03","17717"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","31-Dec-11","59688"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fund Balance","31-Dec-97","5967"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Grants Payable","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Grants Payable","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Grants Payable","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Grants Payable","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Grants Payable","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Grants Payable","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Inventories for Sale or Use","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Inventories for Sale or Use","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Inventories for Sale or Use","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Inventories for Sale or Use","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Inventories for Sale or Use","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Inventories for Sale or Use","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment / Securities","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment / Securities","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment / Securities","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment / Securities","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment / Securities","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investment / Securities","31-Dec-11","0"
